m_ticker,ticker,comp_name,comp_name_2,exchange,currency_code,ticker_type,active_ticker_flag,comp_url,sic_4_code,sic_4_desc,zacks_x_ind_code,zacks_x_ind_desc,zacks_x_sector_code,zacks_x_sector_desc,zacks_m_ind_code,zacks_m_ind_desc,per_end_month_nbr,mr_split_date,mr_split_factor,comp_cik,country_code,country_name,comp_type,optionable_flag,sp500_member_flag,asset_type
UJB,SUB.,SUMMIT BANCORP,SUMMIT BANCORP,,,,N,,,,,,,,,,12,,,,,,,,,
SUBC,SUBB,SUBURBAN BCP  A,SUBURBAN BCP  A,,,,N,,,,,,,,,,12,,,,,,,,,
SCSW,SUBCY,SUBSEA 7 SA,Subsea 7 SA,OTC,USD,S,Y,http://www.subsea7.com,1389,"Oil & gas field services, not elsewhere classified",131,OIL-FIELD SVCS,12,Oils/Energy,41,OIL MACH/SVC/DRILL,12,1998-06-27,0.75,0000898685,GB,UNITED KINGDOM,1,N,N,ADR
SUBD,SUBD,DEUTS-XT SOLACT,DEUTS-XT SOLACT,ARCA,,,N,,,,,,,,,,12,,,,,,,,,
SUBI,SUBI,SUN BANCORP/PA,SUN BANCORP/PA,,,,N,,,,,,,,,,12,,,,,,,,,
SUBM,SUBM,SUBMICRON SYS,SUBMICRON SYS,,,,N,,,,,,,,,,12,,,,,,,,,
SUBN,SUBN,SUMMIT BANCP-NJ,SUMMIT BANCP-NJ,,,,N,,,,,,,,,,12,,,,,,,,,
TVIV,SUBS,MIAMI SUBS CORP,MIAMI SUBS CORP,,,,N,,,,,,,,,,5,,,,,,,,,
SUDS,SUDS,SUDBURY INC,SUDBURY INC,,,,N,,,,,,,,,,5,,,,,,,,,
SUFI,SUFI,SUPERIOR FNL CP,SUPERIOR FNL CP,,,,N,,,,,,,,,,12,,,,,,,,,
SOU,SUG,SOUTHN UNION CO,SOUTHN UNION CO,TSXV,,,N,,,,,,,,,,12,,,,,,,,,
SUGB,SUGBY,SURUGA BK LTD,Suruga Bank Ltd.,OTC,USD,S,Y,http://www.surugabank.co.jp,6029,"Commercial banks, not elsewhere classified",67,FIN-SVGS & LOAN,13,Finance,47,BANKS & THRIFTS,3,,,,JP,JAPAN,2,N,N,ADR
SUGN,SUGN,SUGEN INC,SUGEN INC,,,,N,,,,,,,,,,12,,,,,,,,,
SUG2,SUGR,SUGAR CREEK FIN,Sugar Creek Financial Corp.,OTCBB,USD,S,Y,http://www.tempobank.com,6035,Federal savings institutions,15,BANKS-NORTHEAST,13,Finance,47,BANKS & THRIFTS,3,,,0001592407,US,UNITED STATES,2,N,N,COM
SUNS,SUHI,SUNSTAR HEALTH,SUNSTAR HEALTH,OTC,,,N,,,,,,,,,,7,,,,,,,,,
SUH#,SUHJF,SUN HUNG KAI PP,SUN HUNG KAI PP,OTC,,S,Y,,,,,,,,,,12,,,,,,,,,
SUHK,SUHJY,SUN HUNG KAI PR,Sun Hung Kai Properties Ltd.,OTC,,S,Y,,,,,,,,,,6,,,,,,,,,
